age,starttime,gender,hhi,education,ideo5,newsint,corona1,stimulus_check,amount,employ,pres_2020,pres_2020lean,dfp_public_figure_ap_1,dfp_public_figure_ap_2,dfp_public_figure_ap_3,dfp_public_figure_ap_4,dfp_public_figure_ap_5,dfp_public_figure_ap_6,dfp_public_figure_ap_7,dfp_public_figure_ap_8,dfp_public_figure_ap_9,dfp_public_figure_ap_10
34,5/19/2020 12:09,Male,21,6,Moderate,Most of the time,Somewhat worried,Yes,1500,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Somewhat approve
57,5/19/2020 12:30,Male,3,5,Very conservative,Some of the time,Somewhat worried,Yes,1,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
77,5/19/2020 12:25,Male,12,4,Conservative,Most of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve
84,5/19/2020 11:57,Male,9,4,Moderate,Most of the time,Very worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove
61,5/19/2020 12:27,Male,9,4,Moderate,Some of the time,Somewhat worried,Yes,1200,Full-time,Joe Biden (Democrat),,Somewhat disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
39,5/19/2020 12:11,Female,1,4,Moderate,Some of the time,Very worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Strongly approve,Strongly approve,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve
52,5/19/2020 12:25,Male,14,4,Very liberal,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat approve
69,5/19/2020 12:15,Female,1,2,Very conservative,Some of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Not sure,Not sure,Somewhat disapprove,Somewhat disapprove,Not sure,Somewhat approve,Strongly approve,Strongly approve
57,5/19/2020 12:24,Male,4,4,Moderate,Only now and then,Not worried at all,Yes,1,Full-time,Donald Trump (Republican),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Somewhat approve,Somewhat approve,Not sure,Somewhat disapprove,Strongly disapprove
63,5/19/2020 12:06,Female,5,5,Moderate,Some of the time,Somewhat worried,Yes,1200,Other,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Not sure,Not sure,Not sure,Somewhat approve
47,5/19/2020 12:13,Female,1,2,Moderate,Some of the time,Very worried,Yes,1200,Temporarily laid off,Donald Trump (Republican),,Strongly approve,Not sure,Strongly approve,Somewhat approve,Not sure,Strongly disapprove,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve
56,5/19/2020 12:30,Female,16,2,Moderate,Hardly at all,Not too worried,No,,Part-time,Donald Trump (Republican),,Somewhat approve,Not sure,Not sure,Not sure,Not sure,Strongly approve,Not sure,Not sure,Not sure,Strongly approve
64,5/19/2020 12:30,Male,4,5,Very conservative,Most of the time,Not too worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove
52,5/19/2020 11:34,Male,18,7,Conservative,Only now and then,Not worried at all,Yes,2400,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve
57,5/19/2020 12:28,Female,1,4,Liberal,Most of the time,Very worried,Yes,1200,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat disapprove,Somewhat approve,Not sure,Somewhat approve,Not sure,Somewhat approve,Somewhat approve,Somewhat approve
66,5/19/2020 12:25,Female,5,5,Moderate,Some of the time,Somewhat worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
77,5/19/2020 12:37,Female,23,5,Conservative,Some of the time,Very worried,Yes,1200,Full-time,Donald Trump (Republican),,Somewhat disapprove,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Strongly approve,Not sure,Not sure,Somewhat approve
64,5/19/2020 12:34,Female,17,5,Conservative,Some of the time,Somewhat worried,Yes,1260,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly approve
60,5/19/2020 12:32,Female,19,6,Liberal,Most of the time,Very worried,Yes,1200,Temporarily laid off,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve
47,5/19/2020 12:33,Male,19,5,Moderate,Some of the time,Somewhat worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly approve,Not sure,Strongly approve,Strongly disapprove,Somewhat approve
57,5/19/2020 12:33,Male,12,1,Not sure,Some of the time,Somewhat worried,Yes,1200,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Not sure,Somewhat approve,Not sure,Not sure,Not sure,Not sure
53,5/19/2020 12:21,Male,15,4,Moderate,Some of the time,Somewhat worried,Yes,1700,Temporarily laid off,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Not sure,Strongly approve,Somewhat approve,Somewhat approve,Not sure,Strongly disapprove,Not sure
68,5/19/2020 12:27,Male,8,4,Moderate,Most of the time,Very worried,Yes,2400,Retired,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve
66,5/19/2020 12:07,Female,8,2,Moderate,Only now and then,Very worried,Yes,2400,Retired,Not sure,Joe Biden (Democrat),Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove
58,5/19/2020 12:19,Female,5,3,Conservative,Only now and then,Not too worried,Yes,1200,Unemployed,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove
71,5/19/2020 12:34,Female,6,4,Very conservative,Most of the time,Somewhat worried,Not sure,,Other,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove
57,5/19/2020 12:30,Female,1,4,Liberal,Some of the time,Not too worried,Yes,1200,Unemployed,Joe Biden (Democrat),,Somewhat disapprove,Not sure,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve,Not sure,Not sure,Somewhat disapprove,Somewhat approve
48,5/19/2020 12:34,Male,19,7,Conservative,Most of the time,Not worried at all,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove
76,5/19/2020 12:37,Female,19,2,Very conservative,Most of the time,Somewhat worried,No,,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
74,5/19/2020 12:35,Female,21,7,Moderate,Most of the time,Somewhat worried,Yes,2400,Other,Not sure,Joe Biden (Democrat),Strongly disapprove,Somewhat approve,Somewhat approve,Not sure,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Not sure,Somewhat approve
72,5/19/2020 12:23,Male,13,4,Conservative,Most of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
70,5/19/2020 12:34,Female,1,4,Liberal,Most of the time,Not worried at all,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,Strongly disapprove,Strongly approve
47,5/19/2020 11:37,Male,11,6,Moderate,Some of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve
48,5/19/2020 12:30,Female,3,3,Very liberal,Most of the time,Not too worried,Yes,1200,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Strongly disapprove,Not sure,Strongly approve,Not sure,Somewhat approve,Strongly disapprove,Not sure
65,5/19/2020 12:25,Male,4,5,Liberal,Most of the time,Very worried,Yes,1200,Full-time,A different candidate,,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Strongly approve
28,5/19/2020 12:09,Female,12,6,Conservative,Some of the time,Not too worried,Yes,2400,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve
63,5/19/2020 12:28,Male,13,5,Conservative,Most of the time,Somewhat worried,Yes,2400,Retired,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
70,5/19/2020 12:30,Female,2,4,Conservative,Only now and then,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Somewhat approve,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Not sure,Somewhat approve,Somewhat approve,Somewhat approve
72,5/19/2020 12:33,Male,20,2,Very conservative,Only now and then,Somewhat worried,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat disapprove,Not sure,Not sure,Strongly disapprove,Strongly approve,Somewhat approve
78,5/19/2020 12:41,Female,5,4,Very liberal,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
73,5/19/2020 12:35,Male,-3105,3,Very conservative,Most of the time,Not too worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Somewhat approve
53,5/19/2020 12:36,Male,23,6,Moderate,Most of the time,Not too worried,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove
71,5/19/2020 12:11,Female,13,5,Very liberal,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve
64,5/19/2020 12:41,Female,12,4,Very conservative,Some of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
47,5/19/2020 12:39,Male,23,6,Conservative,Some of the time,Not too worried,No,,Full-time,Donald Trump (Republican),,Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Not sure,Somewhat disapprove,Somewhat approve,Somewhat disapprove
59,5/19/2020 12:18,Female,13,4,Very conservative,Some of the time,Somewhat worried,Yes,1200,Homemaker,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat disapprove,Not sure,Not sure,Not sure,Strongly disapprove,Not sure,Not sure
18,5/19/2020 12:46,Male,2,2,Liberal,Most of the time,Very worried,Not sure,,Part-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Not sure,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly disapprove
61,5/19/2020 12:35,Male,9,2,Conservative,Some of the time,Not too worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Not sure,Not sure,Somewhat approve,Not sure,Strongly approve,Strongly disapprove,Somewhat approve
39,5/19/2020 12:39,Female,19,7,Moderate,Most of the time,Not worried at all,Yes,100,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove
64,5/19/2020 12:31,Male,3,4,Moderate,Only now and then,Somewhat worried,No,,Retired,Would not vote,,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Not sure,Strongly approve,Not sure,Strongly approve
68,5/19/2020 11:45,Male,19,6,Moderate,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Not sure,Strongly approve
51,5/19/2020 12:39,Female,6,6,Moderate,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Not sure,Strongly approve,Strongly disapprove,Strongly approve
54,5/19/2020 12:11,Male,6,4,Conservative,Most of the time,Not too worried,Yes,1200,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve
54,5/19/2020 12:38,Female,15,5,Moderate,Only now and then,Not too worried,Yes,1200,Unemployed,Not sure,Joe Biden (Democrat),Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly approve,Not sure,Somewhat approve,Somewhat approve,Somewhat approve
73,5/19/2020 12:42,Female,14,6,Very liberal,Most of the time,Very worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve
56,5/19/2020 12:36,Male,5,2,Moderate,Some of the time,Not too worried,No,,Full-time,Donald Trump (Republican),,Somewhat approve,Not sure,Somewhat approve,Somewhat approve,Not sure,Not sure,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve
36,5/19/2020 12:19,Female,3,2,Moderate,Only now and then,Not worried at all,Not sure,,Homemaker,Joe Biden (Democrat),,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Strongly approve,Not sure,Strongly approve,Not sure,Not sure
73,5/19/2020 12:28,Female,2,4,Very conservative,Some of the time,Not worried at all,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove
37,5/19/2020 11:44,Female,4,2,Moderate,Hardly at all,Not too worried,Yes,1500,Full-time,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Strongly disapprove,Not sure,Somewhat disapprove,Not sure,Somewhat approve,Strongly approve,Strongly approve
67,5/19/2020 11:39,Male,3,5,Very conservative,Some of the time,Not too worried,Yes,1200,Retired,A different candidate,,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove
56,5/19/2020 12:36,Female,15,6,Very liberal,Some of the time,Very worried,Yes,2400,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve
58,5/19/2020 12:51,Female,22,5,Liberal,Some of the time,Somewhat worried,Yes,1200,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Strongly approve
65,5/19/2020 12:33,Female,13,3,Moderate,Some of the time,Very worried,Yes,2400,Part-time,Joe Biden (Democrat),,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Strongly approve,Somewhat approve,Not sure,Not sure,Somewhat disapprove
58,5/19/2020 12:49,Female,24,6,Moderate,Only now and then,Somewhat worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
48,5/19/2020 12:34,Male,12,6,Moderate,Only now and then,Somewhat worried,Yes,1200,Full-time,Not sure,Joe Biden (Democrat),Strongly disapprove,Not sure,Somewhat disapprove,Not sure,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly approve
68,5/19/2020 12:47,Female,19,7,Liberal,Most of the time,Very worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly approve
69,5/19/2020 12:53,Female,11,7,Very liberal,Some of the time,Somewhat worried,Yes,1200,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
41,5/19/2020 12:55,Female,1,1,Moderate,Some of the time,Not too worried,Not sure,,Temporarily laid off,Would not vote,,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove
67,5/19/2020 12:24,Male,2,4,Conservative,Some of the time,Not too worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve
55,5/19/2020 12:38,Male,7,4,Liberal,Some of the time,Somewhat worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Strongly disapprove,Not sure,Not sure,Not sure,Strongly approve,Somewhat approve,Somewhat approve
60,5/19/2020 12:40,Female,21,6,Moderate,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
61,5/19/2020 12:41,Female,-3105,5,Moderate,Most of the time,Very worried,No,,Permanently disabled,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
64,5/19/2020 12:34,Female,6,4,Liberal,Most of the time,Very worried,No,,Part-time,Joe Biden (Democrat),,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve
46,5/19/2020 11:48,Female,1,2,Very liberal,Some of the time,Very worried,Yes,1200,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Not sure,Strongly approve,Somewhat disapprove,Strongly approve
57,5/19/2020 12:23,Female,1,4,Conservative,Most of the time,Not too worried,No,,Permanently disabled,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Not sure,Strongly disapprove,Not sure,Not sure,Strongly disapprove,Not sure,Somewhat approve
19,5/19/2020 12:48,Male,-3105,2,Not sure,Hardly at all,Not too worried,Not sure,,Other,Not sure,Joe Biden (Democrat),Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Strongly approve
58,5/19/2020 11:42,Female,14,6,Moderate,Some of the time,Somewhat worried,Yes,2400,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Somewhat disapprove,Not sure,Strongly approve,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat approve
55,5/19/2020 12:16,Female,15,4,Very liberal,Most of the time,Very worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve
55,5/19/2020 12:43,Male,20,4,Conservative,Only now and then,Not too worried,Yes,2400,Full-time,Not sure,Donald Trump (Republican),Somewhat disapprove,Not sure,Somewhat disapprove,Not sure,Not sure,Somewhat approve,Somewhat approve,Not sure,Somewhat approve,Somewhat disapprove
71,5/19/2020 12:40,Female,13,4,Conservative,Most of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove
45,5/19/2020 12:51,Female,1,2,Not sure,Hardly at all,Somewhat worried,No,,Permanently disabled,Not sure,Joe Biden (Democrat),Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Strongly disapprove,Not sure,Not sure,Not sure,Not sure
35,5/19/2020 12:12,Female,-3105,4,Moderate,Some of the time,Somewhat worried,Yes,1500,Temporarily laid off,Not sure,Joe Biden (Democrat),Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve
73,5/19/2020 12:20,Female,1,7,Liberal,Most of the time,Very worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly approve
63,5/19/2020 12:24,Male,11,4,Very conservative,Most of the time,Not worried at all,Yes,1200,Permanently disabled,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
75,5/19/2020 13:00,Female,1,2,Not sure,Some of the time,Somewhat worried,Yes,1200,Retired,Would not vote,,Strongly disapprove,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
65,5/19/2020 12:46,Female,7,4,Conservative,Most of the time,Not too worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve
52,5/19/2020 12:41,Female,1,5,Moderate,Most of the time,Somewhat worried,Yes,1200,Permanently disabled,Not sure,Joe Biden (Democrat),Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Somewhat approve,Not sure,Somewhat disapprove,Somewhat approve
70,5/19/2020 12:53,Female,9,4,Conservative,Most of the time,Not worried at all,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove
56,5/19/2020 12:12,Female,17,7,Liberal,Some of the time,Not too worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly approve
50,5/19/2020 12:21,Female,5,6,Moderate,Some of the time,Not too worried,Yes,1400,Temporarily laid off,Donald Trump (Republican),,Somewhat approve,Not sure,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat disapprove,Not sure,Somewhat approve
43,5/19/2020 13:01,Female,1,5,Not sure,Most of the time,Not too worried,Yes,1200,Full-time,Would not vote,,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove
70,5/19/2020 13:04,Female,8,4,Moderate,Most of the time,Somewhat worried,Yes,1200,Part-time,Donald Trump (Republican),,Somewhat approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove
55,5/19/2020 12:26,Female,1,4,Not sure,Hardly at all,Not too worried,No,,Permanently disabled,Not sure,Joe Biden (Democrat),Somewhat approve,Not sure,Not sure,Not sure,Somewhat disapprove,Somewhat approve,Not sure,Somewhat approve,Somewhat approve,Strongly approve
47,5/19/2020 13:08,Female,19,6,Very liberal,Most of the time,Very worried,No,,Full-time,Joe Biden (Democrat),,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve
57,5/19/2020 12:32,Male,7,7,Not sure,Hardly at all,Somewhat worried,Yes,1200,Full-time,Would not vote,,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Somewhat approve,Not sure,Somewhat disapprove,Somewhat disapprove,Not sure
56,5/19/2020 12:13,Female,5,2,Moderate,Some of the time,Very worried,Yes,1200,Part-time,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve
66,5/19/2020 12:09,Male,19,6,Liberal,Most of the time,Somewhat worried,Yes,2400,Unemployed,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
66,5/19/2020 13:05,Female,9,2,Conservative,Only now and then,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve
30,5/19/2020 12:06,Male,5,4,Moderate,Most of the time,Very worried,Yes,2400,Student,Joe Biden (Democrat),,Strongly disapprove,Not sure,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve
